spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-8,_Daily_Cases t-7,_Daily_Cases t-6,_Daily_Cases t-5,_Daily_Cases t-4,_Daily_Cases t-3,_Daily_Cases t-2,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-8,Daily_Deaths t-7,Daily_Deaths t-6,Daily_Deaths t-5,Daily_Deaths t-4,Daily_Deaths t-3,Daily_Deaths t-2,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-8,retail_and_recreation_percent_change_from_baseline t-7,retail_and_recreation_percent_change_from_baseline t-6,retail_and_recreation_percent_change_from_baseline t-5,retail_and_recreation_percent_change_from_baseline t-4,retail_and_recreation_percent_change_from_baseline t-3,retail_and_recreation_percent_change_from_baseline t-2,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-8,grocery_and_pharmacy_percent_change_from_baseline t-7,grocery_and_pharmacy_percent_change_from_baseline t-6,grocery_and_pharmacy_percent_change_from_baseline t-5,grocery_and_pharmacy_percent_change_from_baseline t-4,grocery_and_pharmacy_percent_change_from_baseline t-3,grocery_and_pharmacy_percent_change_from_baseline t-2,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-8,parks_percent_change_from_baseline t-7,parks_percent_change_from_baseline t-6,parks_percent_change_from_baseline t-5,parks_percent_change_from_baseline t-4,parks_percent_change_from_baseline t-3,parks_percent_change_from_baseline t-2,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-8,transit_stations_percent_change_from_baseline t-7,transit_stations_percent_change_from_baseline t-6,transit_stations_percent_change_from_baseline t-5,transit_stations_percent_change_from_baseline t-4,transit_stations_percent_change_from_baseline t-3,transit_stations_percent_change_from_baseline t-2,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-8,residential_percent_change_from_baseline_ t-7,residential_percent_change_from_baseline_ t-6,residential_percent_change_from_baseline_ t-5,residential_percent_change_from_baseline_ t-4,residential_percent_change_from_baseline_ t-3,residential_percent_change_from_baseline_ t-2,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020-03-05,0.0,0.0,0,2,1,6,4,3,3,3,4,0,0,0,0,0,0,0,0,0,-2.0,-8.0,-1.0,7.0,10.0,3.0,4.0,5.0,7.0,2.0,-9.0,1.0,7.0,9.0,3.0,6.0,4.0,5.0,1.0,-6.0,-5.0,11.0,23.0,1.0,8.0,11.0,18.0,-2.0,-5.0,1.0,6.0,6.0,-2.0,-2.0,0.0,-1.0,1.0,4.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0
1,2020-03-06,4.0,4.0,2,1,6,4,3,3,3,4,12,0,0,0,0,0,0,0,0,0,-8.0,-1.0,7.0,10.0,3.0,4.0,5.0,7.0,1.0,-9.0,1.0,7.0,9.0,3.0,6.0,4.0,5.0,-1.0,-6.0,-5.0,11.0,23.0,1.0,8.0,11.0,18.0,6.0,-5.0,1.0,6.0,6.0,-2.0,-2.0,0.0,-1.0,-3.0,4.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0
1,2020-03-07,4.0,4.0,1,6,4,3,3,3,4,12,5,0,0,0,0,0,0,0,0,0,-1.0,7.0,10.0,3.0,4.0,5.0,7.0,1.0,6.0,1.0,7.0,9.0,3.0,6.0,4.0,5.0,-1.0,5.0,-5.0,11.0,23.0,1.0,8.0,11.0,18.0,6.0,17.0,1.0,6.0,6.0,-2.0,-2.0,0.0,-1.0,-3.0,3.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,2020-03-08,3.0,3.0,6,4,3,3,3,4,12,5,10,0,0,0,0,0,0,0,0,0,7.0,10.0,3.0,4.0,5.0,7.0,1.0,6.0,9.0,7.0,9.0,3.0,6.0,4.0,5.0,-1.0,5.0,7.0,11.0,23.0,1.0,8.0,11.0,18.0,6.0,17.0,50.0,6.0,6.0,-2.0,-2.0,0.0,-1.0,-3.0,3.0,3.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1,2020-03-09,7.0,7.0,4,3,3,3,4,12,5,10,13,0,0,0,0,0,0,0,0,1,10.0,3.0,4.0,5.0,7.0,1.0,6.0,9.0,4.0,9.0,3.0,6.0,4.0,5.0,-1.0,5.0,7.0,4.0,23.0,1.0,8.0,11.0,18.0,6.0,17.0,50.0,31.0,6.0,-2.0,-2.0,0.0,-1.0,-3.0,3.0,3.0,-3.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1,2020-03-10,4.0,4.0,3,3,3,4,12,5,10,13,2,0,0,0,0,0,0,0,1,0,3.0,4.0,5.0,7.0,1.0,6.0,9.0,4.0,-1.0,3.0,6.0,4.0,5.0,-1.0,5.0,7.0,4.0,1.0,1.0,8.0,11.0,18.0,6.0,17.0,50.0,31.0,-2.0,-2.0,-2.0,0.0,-1.0,-3.0,3.0,3.0,-3.0,-6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1,2020-03-11,9.0,9.0,3,3,4,12,5,10,13,2,29,0,0,0,0,0,0,1,0,0,4.0,5.0,7.0,1.0,6.0,9.0,4.0,-1.0,3.0,6.0,4.0,5.0,-1.0,5.0,7.0,4.0,1.0,7.0,8.0,11.0,18.0,6.0,17.0,50.0,31.0,-2.0,12.0,-2.0,0.0,-1.0,-3.0,3.0,3.0,-3.0,-6.0,-3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
1,2020-03-12,15.0,15.0,3,4,12,5,10,13,2,29,9,0,0,0,0,0,1,0,0,0,5.0,7.0,1.0,6.0,9.0,4.0,-1.0,3.0,7.0,4.0,5.0,-1.0,5.0,7.0,4.0,1.0,7.0,27.0,11.0,18.0,6.0,17.0,50.0,31.0,-2.0,12.0,11.0,0.0,-1.0,-3.0,3.0,3.0,-3.0,-6.0,-3.0,-6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1,2020-03-13,9.0,9.0,4,12,5,10,13,2,29,9,76,0,0,0,0,1,0,0,0,0,7.0,1.0,6.0,9.0,4.0,-1.0,3.0,7.0,-5.0,5.0,-1.0,5.0,7.0,4.0,1.0,7.0,27.0,35.0,18.0,6.0,17.0,50.0,31.0,-2.0,12.0,11.0,-16.0,-1.0,-3.0,3.0,3.0,-3.0,-6.0,-3.0,-6.0,-17.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
1,2020-03-14,16.0,16.0,12,5,10,13,2,29,9,76,5,0,0,0,1,0,0,0,0,0,1.0,6.0,9.0,4.0,-1.0,3.0,7.0,-5.0,-11.0,-1.0,5.0,7.0,4.0,1.0,7.0,27.0,35.0,19.0,6.0,17.0,50.0,31.0,-2.0,12.0,11.0,-16.0,-8.0,-3.0,3.0,3.0,-3.0,-6.0,-3.0,-6.0,-17.0,-19.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0
1,2020-03-15,14.0,14.0,5,10,13,2,29,9,76,5,54,0,0,1,0,0,0,0,0,0,6.0,9.0,4.0,-1.0,3.0,7.0,-5.0,-11.0,-12.0,5.0,7.0,4.0,1.0,7.0,27.0,35.0,19.0,11.0,17.0,50.0,31.0,-2.0,12.0,11.0,-16.0,-8.0,28.0,3.0,3.0,-3.0,-6.0,-3.0,-6.0,-17.0,-19.0,-22.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0
1,2020-03-16,29.0,29.0,10,13,2,29,9,76,5,54,163,0,1,0,0,0,0,0,0,3,9.0,4.0,-1.0,3.0,7.0,-5.0,-11.0,-12.0,-12.0,7.0,4.0,1.0,7.0,27.0,35.0,19.0,11.0,23.0,50.0,31.0,-2.0,12.0,11.0,-16.0,-8.0,28.0,15.0,3.0,-3.0,-6.0,-3.0,-6.0,-17.0,-19.0,-22.0,-37.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,10.0
1,2020-03-17,27.0,27.0,13,2,29,9,76,5,54,163,63,1,0,0,0,0,0,0,3,2,4.0,-1.0,3.0,7.0,-5.0,-11.0,-12.0,-12.0,-27.0,4.0,1.0,7.0,27.0,35.0,19.0,11.0,23.0,13.0,31.0,-2.0,12.0,11.0,-16.0,-8.0,28.0,15.0,7.0,-3.0,-6.0,-3.0,-6.0,-17.0,-19.0,-22.0,-37.0,-45.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,10.0,14.0
1,2020-03-18,23.0,23.0,2,29,9,76,5,54,163,63,179,0,0,0,0,0,0,3,2,5,-1.0,3.0,7.0,-5.0,-11.0,-12.0,-12.0,-27.0,-33.0,1.0,7.0,27.0,35.0,19.0,11.0,23.0,13.0,7.0,-2.0,12.0,11.0,-16.0,-8.0,28.0,15.0,7.0,14.0,-6.0,-3.0,-6.0,-17.0,-19.0,-22.0,-37.0,-45.0,-48.0,1.0,1.0,1.0,5.0,5.0,4.0,10.0,14.0,16.0
1,2020-03-19,49.0,49.0,29,9,76,5,54,163,63,179,143,0,0,0,0,0,3,2,5,0,3.0,7.0,-5.0,-11.0,-12.0,-12.0,-27.0,-33.0,-36.0,7.0,27.0,35.0,19.0,11.0,23.0,13.0,7.0,4.0,12.0,11.0,-16.0,-8.0,28.0,15.0,7.0,14.0,18.0,-3.0,-6.0,-17.0,-19.0,-22.0,-37.0,-45.0,-48.0,-52.0,1.0,1.0,5.0,5.0,4.0,10.0,14.0,16.0,17.0
1,2020-03-20,53.0,53.0,9,76,5,54,163,63,179,143,143,0,0,0,0,3,2,5,0,4,7.0,-5.0,-11.0,-12.0,-12.0,-27.0,-33.0,-36.0,-44.0,27.0,35.0,19.0,11.0,23.0,13.0,7.0,4.0,-5.0,11.0,-16.0,-8.0,28.0,15.0,7.0,14.0,18.0,-8.0,-6.0,-17.0,-19.0,-22.0,-37.0,-45.0,-48.0,-52.0,-54.0,1.0,5.0,5.0,4.0,10.0,14.0,16.0,17.0,20.0
1,2020-03-21,83.0,83.0,76,5,54,163,63,179,143,143,334,0,0,0,3,2,5,0,4,4,-5.0,-11.0,-12.0,-12.0,-27.0,-33.0,-36.0,-44.0,-49.0,35.0,19.0,11.0,23.0,13.0,7.0,4.0,-5.0,-12.0,-16.0,-8.0,28.0,15.0,7.0,14.0,18.0,-8.0,11.0,-17.0,-19.0,-22.0,-37.0,-45.0,-48.0,-52.0,-54.0,-49.0,5.0,5.0,4.0,10.0,14.0,16.0,17.0,20.0,13.0
1,2020-03-22,75.0,75.0,5,54,163,63,179,143,143,334,192,0,0,3,2,5,0,4,4,3,-11.0,-12.0,-12.0,-27.0,-33.0,-36.0,-44.0,-49.0,-51.0,19.0,11.0,23.0,13.0,7.0,4.0,-5.0,-12.0,-21.0,-8.0,28.0,15.0,7.0,14.0,18.0,-8.0,11.0,4.0,-19.0,-22.0,-37.0,-45.0,-48.0,-52.0,-54.0,-49.0,-54.0,5.0,4.0,10.0,14.0,16.0,17.0,20.0,13.0,11.0
1,2020-03-23,85.0,85.0,54,163,63,179,143,143,334,192,619,0,3,2,5,0,4,4,3,7,-12.0,-12.0,-27.0,-33.0,-36.0,-44.0,-49.0,-51.0,-45.0,11.0,23.0,13.0,7.0,4.0,-5.0,-12.0,-21.0,-13.0,28.0,15.0,7.0,14.0,18.0,-8.0,11.0,4.0,-27.0,-22.0,-37.0,-45.0,-48.0,-52.0,-54.0,-49.0,-54.0,-63.0,4.0,10.0,14.0,16.0,17.0,20.0,13.0,11.0,20.0
1,2020-03-24,61.0,61.0,163,63,179,143,143,334,192,619,702,3,2,5,0,4,4,3,7,4,-12.0,-27.0,-33.0,-36.0,-44.0,-49.0,-51.0,-45.0,-49.0,23.0,13.0,7.0,4.0,-5.0,-12.0,-21.0,-13.0,-15.0,15.0,7.0,14.0,18.0,-8.0,11.0,4.0,-27.0,-10.0,-37.0,-45.0,-48.0,-52.0,-54.0,-49.0,-54.0,-63.0,-64.0,10.0,14.0,16.0,17.0,20.0,13.0,11.0,20.0,22.0
1,2020-03-25,67.0,67.0,63,179,143,143,334,192,619,702,461,2,5,0,4,4,3,7,4,9,-27.0,-33.0,-36.0,-44.0,-49.0,-51.0,-45.0,-49.0,-53.0,13.0,7.0,4.0,-5.0,-12.0,-21.0,-13.0,-15.0,-21.0,7.0,14.0,18.0,-8.0,11.0,4.0,-27.0,-10.0,1.0,-45.0,-48.0,-52.0,-54.0,-49.0,-54.0,-63.0,-64.0,-65.0,14.0,16.0,17.0,20.0,13.0,11.0,20.0,22.0,23.0
1,2020-03-26,123.0,123.0,179,143,143,334,192,619,702,461,791,5,0,4,4,3,7,4,9,15,-33.0,-36.0,-44.0,-49.0,-51.0,-45.0,-49.0,-53.0,-54.0,7.0,4.0,-5.0,-12.0,-21.0,-13.0,-15.0,-21.0,-21.0,14.0,18.0,-8.0,11.0,4.0,-27.0,-10.0,1.0,-18.0,-48.0,-52.0,-54.0,-49.0,-54.0,-63.0,-64.0,-65.0,-68.0,16.0,17.0,20.0,13.0,11.0,20.0,22.0,23.0,25.0
1,2020-03-27,96.0,96.0,143,143,334,192,619,702,461,791,640,0,4,4,3,7,4,9,15,9,-36.0,-44.0,-49.0,-51.0,-45.0,-49.0,-53.0,-54.0,-55.0,4.0,-5.0,-12.0,-21.0,-13.0,-15.0,-21.0,-21.0,-21.0,18.0,-8.0,11.0,4.0,-27.0,-10.0,1.0,-18.0,-10.0,-52.0,-54.0,-49.0,-54.0,-63.0,-64.0,-65.0,-68.0,-66.0,17.0,20.0,13.0,11.0,20.0,22.0,23.0,25.0,26.0
1,2020-03-28,119.0,119.0,143,334,192,619,702,461,791,640,894,4,4,3,7,4,9,15,9,16,-44.0,-49.0,-51.0,-45.0,-49.0,-53.0,-54.0,-55.0,-59.0,-5.0,-12.0,-21.0,-13.0,-15.0,-21.0,-21.0,-21.0,-27.0,-8.0,11.0,4.0,-27.0,-10.0,1.0,-18.0,-10.0,-30.0,-54.0,-49.0,-54.0,-63.0,-64.0,-65.0,-68.0,-66.0,-64.0,20.0,13.0,11.0,20.0,22.0,23.0,25.0,26.0,17.0
1,2020-03-29,109.0,109.0,334,192,619,702,461,791,640,894,704,4,3,7,4,9,15,9,16,14,-49.0,-51.0,-45.0,-49.0,-53.0,-54.0,-55.0,-59.0,-59.0,-12.0,-21.0,-13.0,-15.0,-21.0,-21.0,-21.0,-27.0,-35.0,11.0,4.0,-27.0,-10.0,1.0,-18.0,-10.0,-30.0,-16.0,-49.0,-54.0,-63.0,-64.0,-65.0,-68.0,-66.0,-64.0,-66.0,13.0,11.0,20.0,22.0,23.0,25.0,26.0,17.0,14.0
1,2020-03-30,130.0,130.0,192,619,702,461,791,640,894,704,1118,3,7,4,9,15,9,16,14,29,-51.0,-45.0,-49.0,-53.0,-54.0,-55.0,-59.0,-59.0,-54.0,-21.0,-13.0,-15.0,-21.0,-21.0,-21.0,-27.0,-35.0,-27.0,4.0,-27.0,-10.0,1.0,-18.0,-10.0,-30.0,-16.0,-32.0,-54.0,-63.0,-64.0,-65.0,-68.0,-66.0,-64.0,-66.0,-70.0,11.0,20.0,22.0,23.0,25.0,26.0,17.0,14.0,23.0
1,2020-03-31,136.0,136.0,619,702,461,791,640,894,704,1118,1129,7,4,9,15,9,16,14,29,27,-45.0,-49.0,-53.0,-54.0,-55.0,-59.0,-59.0,-54.0,-51.0,-13.0,-15.0,-21.0,-21.0,-21.0,-27.0,-35.0,-27.0,-19.0,-27.0,-10.0,1.0,-18.0,-10.0,-30.0,-16.0,-32.0,-13.0,-63.0,-64.0,-65.0,-68.0,-66.0,-64.0,-66.0,-70.0,-68.0,20.0,22.0,23.0,25.0,26.0,17.0,14.0,23.0,23.0
1,2020-04-01,154.0,154.0,702,461,791,640,894,704,1118,1129,1033,4,9,15,9,16,14,29,27,23,-49.0,-53.0,-54.0,-55.0,-59.0,-59.0,-54.0,-51.0,-52.0,-15.0,-21.0,-21.0,-21.0,-27.0,-35.0,-27.0,-19.0,-21.0,-10.0,1.0,-18.0,-10.0,-30.0,-16.0,-32.0,-13.0,-10.0,-64.0,-65.0,-68.0,-66.0,-64.0,-66.0,-70.0,-68.0,-68.0,22.0,23.0,25.0,26.0,17.0,14.0,23.0,23.0,24.0
1,2020-04-02,203.0,203.0,461,791,640,894,704,1118,1129,1033,1724,9,15,9,16,14,29,27,23,49,-53.0,-54.0,-55.0,-59.0,-59.0,-54.0,-51.0,-52.0,-53.0,-21.0,-21.0,-21.0,-27.0,-35.0,-27.0,-19.0,-21.0,-23.0,1.0,-18.0,-10.0,-30.0,-16.0,-32.0,-13.0,-10.0,-16.0,-65.0,-68.0,-66.0,-64.0,-66.0,-70.0,-68.0,-68.0,-70.0,23.0,25.0,26.0,17.0,14.0,23.0,23.0,24.0,25.0
1,2020-04-03,126.0,126.0,791,640,894,704,1118,1129,1033,1724,1153,15,9,16,14,29,27,23,49,53,-54.0,-55.0,-59.0,-59.0,-54.0,-51.0,-52.0,-53.0,-55.0,-21.0,-21.0,-27.0,-35.0,-27.0,-19.0,-21.0,-23.0,-23.0,-18.0,-10.0,-30.0,-16.0,-32.0,-13.0,-10.0,-16.0,-33.0,-68.0,-66.0,-64.0,-66.0,-70.0,-68.0,-68.0,-70.0,-69.0,25.0,26.0,17.0,14.0,23.0,23.0,24.0,25.0,27.0
1,2020-04-04,143.0,143.0,640,894,704,1118,1129,1033,1724,1153,541,9,16,14,29,27,23,49,53,83,-55.0,-59.0,-59.0,-54.0,-51.0,-52.0,-53.0,-55.0,-57.0,-21.0,-27.0,-35.0,-27.0,-19.0,-21.0,-23.0,-23.0,-25.0,-10.0,-30.0,-16.0,-32.0,-13.0,-10.0,-16.0,-33.0,-17.0,-66.0,-64.0,-66.0,-70.0,-68.0,-68.0,-70.0,-69.0,-63.0,26.0,17.0,14.0,23.0,23.0,24.0,25.0,27.0,17.0
1,2020-04-05,158.0,158.0,894,704,1118,1129,1033,1724,1153,541,2778,16,14,29,27,23,49,53,83,75,-59.0,-59.0,-54.0,-51.0,-52.0,-53.0,-55.0,-57.0,-63.0,-27.0,-35.0,-27.0,-19.0,-21.0,-23.0,-23.0,-25.0,-45.0,-30.0,-16.0,-32.0,-13.0,-10.0,-16.0,-33.0,-17.0,-13.0,-64.0,-66.0,-70.0,-68.0,-68.0,-70.0,-69.0,-63.0,-67.0,17.0,14.0,23.0,23.0,24.0,25.0,27.0,17.0,14.0
1,2020-04-06,146.0,146.0,704,1118,1129,1033,1724,1153,541,2778,807,14,29,27,23,49,53,83,75,85,-59.0,-54.0,-51.0,-52.0,-53.0,-55.0,-57.0,-63.0,-51.0,-35.0,-27.0,-19.0,-21.0,-23.0,-23.0,-25.0,-45.0,-21.0,-16.0,-32.0,-13.0,-10.0,-16.0,-33.0,-17.0,-13.0,2.0,-66.0,-70.0,-68.0,-68.0,-70.0,-69.0,-63.0,-67.0,-68.0,14.0,23.0,23.0,24.0,25.0,27.0,17.0,14.0,23.0
1,2020-04-07,193.0,193.0,1118,1129,1033,1724,1153,541,2778,807,1309,29,27,23,49,53,83,75,85,61,-54.0,-51.0,-52.0,-53.0,-55.0,-57.0,-63.0,-51.0,-52.0,-27.0,-19.0,-21.0,-23.0,-23.0,-25.0,-45.0,-21.0,-18.0,-32.0,-13.0,-10.0,-16.0,-33.0,-17.0,-13.0,2.0,-1.0,-70.0,-68.0,-68.0,-70.0,-69.0,-63.0,-67.0,-68.0,-68.0,23.0,23.0,24.0,25.0,27.0,17.0,14.0,23.0,24.0
1,2020-04-08,195.0,195.0,1129,1033,1724,1153,541,2778,807,1309,1269,27,23,49,53,83,75,85,61,67,-51.0,-52.0,-53.0,-55.0,-57.0,-63.0,-51.0,-52.0,-51.0,-19.0,-21.0,-23.0,-23.0,-25.0,-45.0,-21.0,-18.0,-17.0,-13.0,-10.0,-16.0,-33.0,-17.0,-13.0,2.0,-1.0,-3.0,-68.0,-68.0,-70.0,-69.0,-63.0,-67.0,-68.0,-68.0,-67.0,23.0,24.0,25.0,27.0,17.0,14.0,23.0,24.0,24.0
